date,meantemp,humidity,wind_speed,meanpressure
01-01-17,16,85.86956522,2.743478261,59
02-01-17,19,77.22222222,2.894444444,1018.277778
03-01-17,17,81.88888889,4.016666667,1018.333333
04-01-17,19,70.05,4.545,1015.7
05-01-17,18,74.94444444,3.3,1014.333333
06-01-17,19,79.31818182,8.681818182,1011.772727
07-01-17,15,95.83333333,10.04166667,1011.375
08-01-17,16,83.52631579,1.95,1015.55
09-01-17,15,80.80952381,6.542857143,1015.952381
10-01-17,12,71.94444444,9.361111111,1016.888889
11-01-17,11,72.11111111,9.772222222,1016.777778
12-01-17,12,74.57894737,6.626315789,1016.368421
13-01-17,13,67.05882353,6.435294118,1017.529412
14-01-17,13,74.28,5.276,1018.84
15-01-17,16,72.56521739,3.630434783,1018.130435
16-01-17,15,78.45,10.38,1017.15
17-01-17,12,84.44444444,8.038888889,1018.388889
18-01-17,13,78.33333333,6.029166667,1021.958333
19-01-17,15,75.14285714,10.33809524,1022.809524
20-01-17,15,66.47368421,11.22631579,1021.789474
21-01-17,15,70.86956522,13.69565217,1020.478261
22-01-17,18,76.24,5.868,1021.04
23-01-17,18,76,6.752941176,1019.823529
24-01-17,18,68.13043478,3.391304348,1018.869565
25-01-17,21,69.96,8.756,1018.4
26-01-17,16,91.64285714,8.467857143,1017.785714
27-01-17,17,77.04166667,14.35833333,1018.125
28-01-17,15,82.77272727,9.690909091,1019.636364
29-01-17,16,81.77777778,10.29444444,1017.388889
30-01-17,16,77.55555556,4.322222222,1015.833333
31-01-17,16,76,4.625,1015.5
01-02-17,15,78.625,5.1,1017.5
02-02-17,17,66.54545455,3.027272727,1018.909091
03-02-17,16,78.18181818,1.854545455,1017.727273
04-02-17,19,77.6,9.82,1014.4
05-02-17,19,77.63157895,8.1,1014.210526
06-02-17,17,69.66666667,9.044444444,1016
07-02-17,15,63.75,7.6375,1016.125
08-02-17,16,68.4,4.08,1015.6
09-02-17,15,68.375,7.875,1016.375
10-02-17,15,71.77777778,9.066666667,1015.666667
11-02-17,16,64,3.95,1016.625
12-02-17,16,70.375,1.625,1019.625
13-02-17,16,67,6.377777778,1021.555556
14-02-17,17,65.5,6.9625,1021.375
15-02-17,18,67.71428571,5.557142857,1020.571429
16-02-17,20,56.75,10.4375,1017.625
17-02-17,21,64.4,9.28,1016.5
18-02-17,21,70.75,6.25,1016.25
19-02-17,22,66.09090909,6.054545455,1013
20-02-17,23,60.125,6.9375,1005.375
21-02-17,22,69.41666667,12.34166667,1007.416667
22-02-17,19,57.125,7.4125,1012.25
23-02-17,19,42.875,14.35,1015.25
24-02-17,19,40.375,16.6625,1016.125
25-02-17,19,50.42857143,11.92857143,1014.285714
26-02-17,19,59,11.1125,1012.375
27-02-17,20,58.375,5.1,1014.25
28-02-17,23,51.66666667,3.911111111,1013.111111
01-03-17,24,47.92307692,6.415384615,1012.923077
02-03-17,24,54.25,5.93,1012.15
03-03-17,21,42.5,7.4125,1010.625
04-03-17,19,43.125,8.35,1010
05-03-17,20,41.25,9.9625,1010.5
06-03-17,20,42.44444444,9.666666667,1010.333333
07-03-17,23,41.5,6.025,1007.375
08-03-17,22,52.72727273,10.26363636,1008.909091
09-03-17,21,69.07142857,8.342857143,1007.357143
10-03-17,20,67.75,11.4625,1006.875
11-03-17,19,60.4,5.566666667,1009.8
12-03-17,17,56.625,7.6375,1014.75
13-03-17,17,49.33333333,9.055555556,1014.888889
14-03-17,18,56.33333333,4.522222222,1016.555556
15-03-17,20,54.75,7.175,1014.125
16-03-17,24,49.2,5.56,1011.1
17-03-17,21,59.7,11.49,1010.7
18-03-17,25,46.30769231,7.123076923,1009.846154
19-03-17,25,52.27777778,9.161111111,1011.888889
20-03-17,23,54.66666667,10.07777778,1012.555556
21-03-17,25,49,9.2625,1011.75
22-03-17,27,45,10.1875,1009.75
23-03-17,28,49.75,3.4875,1008.875
24-03-17,29,37.66666667,10.03333333,1010.583333
25-03-17,27,39.375,10.425,1009.875
26-03-17,29,37.1,17.59,1010.2
27-03-17,30,38.625,13.65,1009.5
28-03-17,30,40.66666667,8.844444444,1009
29-03-17,31,34.5,13.2,1007.125
30-03-17,29,36.85714286,10.58571429,1007.142857
31-03-17,31,37.625,6.95,1007.5
01-04-17,31,35.125,9.0375,1005
02-04-17,30,33.75,9.2625,1004.25
03-04-17,31,29.75,6.9375,1004.25
04-04-17,31,31.86666667,14.32,1007.2
05-04-17,29,46,14.38461538,1005
06-04-17,31,26,13.57777778,1002.888889
07-04-17,27,29.875,4.65,1007.375
08-04-17,26,29.375,8.3375,1010.375
09-04-17,27,21.125,14.125,1010.625
10-04-17,28,19.42857143,19.31428571,1008.571429
11-04-17,29,17.75,15.5125,1006.25
12-04-17,29,26,9.4875,1005.875
13-04-17,30,29.11111111,4.944444444,1006.777778
14-04-17,31,37.625,1.3875,1004.625
15-04-17,31,30.44444444,5.966666667,1002.444444
16-04-17,31,34.25,2.1,1003.25
17-04-17,33,38.44444444,5.366666667,1004.444444
18-04-17,34,27.33333333,7.811111111,1003.111111
19-04-17,34,24.125,9.025,1000.875
20-04-17,35,27.5,5.5625,998.625
21-04-17,34,39.375,6.9625,999.875
22-04-17,33,40.9,8.89,1001.6
23-04-17,33,27.5,9.9625,1002.125
24-04-17,32,27.14285714,12.15714286,1004.142857
